uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
14148,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Madurai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,30000,No,Do Not Know,No,No,,,Yes,Fully confident,3,,0-3 months,Do not know any,,,,Female,Yes,,0,,1 2 6 8 -888,Tailoring work from home,1,2,,,,5,,,3,7,,,,,,,,,,,,,,,,,,,,
14150,EDII_Women_Ent,Services,HAIR DRESSING,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,No,Do Not Know,No,No,,,Yes,Fully confident,7,,> 6 months,Do not know any,,,,Female,No,25,2,,1 2 5 8,,1,2,,,3,,,,,1 3 5,,,> 3 years,Increased,4 -888,Loan repayment and phone Bill,5 -888,Transaction details visible,,,,,,,,,,,,
14152,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,3,,0-3 months,Do not know any,,,,Female,Yes,,2 4,,1 2 8 -888,Basket making business,1,2,,,,,,,3,1 5,,,1-2 years,Increased,-888,"Dth and phone recharge,Emi repayment",5 -888,Cash safety,,,,,,,,,,,,
14153,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thanjavur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,No supplier payments pending,No supplier payments pending,Yes,No,,,No,Fully confident,3 6,,0-3 months,Do not know any,,,,Female,No,30,2 3,,1 2 5 8 -888,Playing dhayam game,2,1,,,5,,,,3,7,,,,,,,,,,,,,,,,,,,,
14156,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,37000,No supplier payments pending,No supplier payments pending,Yes,No,,,Yes,Fully confident,0,,4-6 months,Yes,Under Small business board,,,Female,No,50,1 2 3,,1 2 5 8 -888,Beautician and Mehndi training given to her daughter,1,2,,,4,,,,3,5,,,2-3 years,Increased,1 4 -888,"Cash transfer to her sister,mobile recharge and chit payment",-888,Transaction visibility and safety,,,,,,,,,,,,
14159,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,No supplier payments pending,No supplier payments pending,Yes,No,,,Yes,Fully confident,-888,Business scale-up,0-3 months,Do not know any,,,,Female,No,50,2,,1 2 6 8 -888,Dhayam game and Tailoring Work,1,2,,,,5,,,3,7,,,,,,,,,,,,,,,,,,,,
14160,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,"No, but not able to pay them",,,Yes,Fully confident,0,,4-6 months,Do not know any,,,,Female,No,25,1 2,,1 2 8,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14161,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Madurai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,11000,Partial payment,Yes full payment,"Yes, but with delay",No,,,Yes,Fully confident,6 -888,Business scale-up,0-3 months,No,,Did not find beneficial enough,,Female,No,50,0,,1 2 8 -888,Playing Dhayam game,3,1,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,
14163,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,1,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,,No,No,No,No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,Female,No,50,1 2 3 4,,1 2 5 8,,2,1,,,3,,,,,7,,,,,,,,,,,,,,,,,,,,
14164,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Krishnagiri,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,20000,No,No,No,Yes,0,2,Yes,Not confident,4,,> 6 months,Yes,Under by Trust will give some fund for small business,,,Female,No,50,1 2,,1 2 8 -888,Farming work,2,1,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,
14165,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Vellore,Tamil Nadu,South India,Yes,Female,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,2000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,0,,4-6 months,Do not know any,,,,Female,No,50,2 3,,1 2 5 6 8,,2,1,,,3,5,,,,7,,,,,,,,,,,,,,,,,,,,
14166,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Madurai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,7,1,8,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2 3,Yes,4000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,6,,0-3 months,Do not know any,,,,Female,No,50,2 3,,1 2 6 7 8 -888,Carom and dhayam game playing,2,3,,,,6,1,,4,7,,,,,,,,,,,,,,,,,,,,
14169,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,6,0,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,15000,Do Not Know,Do Not Know,No,"No, but not able to pay them",,,Yes,Fully confident,6 -888,Business scale-up,4-6 months,Do not know any,,,,Female,No,10,2,,1 2 5 8,,1,2,,,3,,,,,1 3 5,,,1-2 years,Increased,4 -888,Cash transferred to Relations,5,,,,,,,,,,,,,
14171,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,15000,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Fully confident,0,,4-6 months,Do not know any,,,,Female,No,50,1 2,,1 2 7 8,,2,1,,,,,3,,,1,,,> 3 years,Decreased,5,,3 4,,,,,,,,,,,,,
14172,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Tiruchirappalli,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,1,4,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,2,Yes,2500,No,No,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Female,No,50,1 2 3 4,,1 2 4 5 8,,1,2,,3,4,,,,,5,,,1 to 3 months,Increased,-888,,-888,Time save and transaction immediately,,,,,,,,,,,,
14173,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Salem,Tamil Nadu,South India,Yes,Female,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Female,No,50,2,,1 2 8 -888,Mask stitching work,2,1,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,
14176,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,10000,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Fully confident,3,,0-3 months,Do not know any,,,,Female,No,50,2,,1 2 8 -888,Went to customer's house and done beautician work,2,1,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,
14177,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Tiruppur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,10,3,13,,,,Y,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No,No,,,Yes,Will close the business,,,,Do not know any,,,,Female,Yes,,2 4,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
14178,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Pudukkottai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,20000,No supplier payments pending,No supplier payments pending,No customers due to lockdown,Yes,2,0,Yes,Not confident,1,,Uncertain,Do not know any,,,,Female,No,30,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14179,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,Yes,Not confident,4,,> 6 months,Yes,Plan to apply msme,,,Female,No,20,1 2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14180,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,No,Fully confident,0,,Uncertain,Do not know any,,,,Female,No,30,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14181,EDII_Women_Ent,Services,HAIR DRESSING,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,No,,No supplier payments pending,No supplier payments pending,No customers due to lockdown,Yes,2,0,No Loan,Fully confident,0,,Uncertain,Do not know any,,,,Female,No,50,2,,1,,1,,,,,,,,,2 4,,,6-12 months,Increased,1,,1,,,,,,,,,,,,,
14182,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,10000,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Female,Yes,,1 2 3,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14187,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Dindigul,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,Yes,Not confident,0,,Uncertain,Do not know any,,,,Female,Yes,,0,,6,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
14189,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Nagercoil,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Female,No,,2,,1,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14190,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Ariyalur,Tamil Nadu,South India,Yes,Female,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,10000,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,No Loan,Not confident,0,,Uncertain,Do not know any,,,,Female,Yes,,1,,1,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14192,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Tiruppur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,No Loan,Fully confident,0,,Uncertain,Do not know any,,,,Female,No,30,0,,1,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14193,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Tiruppur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,20000,No supplier payments pending,No supplier payments pending,No customers due to lockdown,No,,,No Loan,Somewhat confident,1,,4-6 months,Do not know any,,,,Female,No,50,4,,1,,1,,,,,,,,,2 4,,,3-6 months,Decreased,4,,1,,,,,,,,,,,,,
14195,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Madurai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,40000,No,No,No,No,,,Yes,Fully confident,3,,0-3 months,Do not know any,,,,Female,No,50,2 3,,1 2 8,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
14196,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Nagapattinam,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,No,Partial payment,No,No,,,Yes,Somewhat confident,0,,> 6 months,No,,Others,Applications get rejected,Female,No,25,0,,1 2 6 8,,1,2,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
14198,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,10000,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,6,,4-6 months,Do not know any,,,,Female,No,50,0,,1 2 4 6 8,,2,1,,3,,5,,,,7,,,,,,,,,,,,,,,,,,,,
14200,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,1,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,No,No,No,"No, but not able to pay them",,,Yes,Not confident,0,,0-3 months,No,,Others,Can't go out,Female,Yes,,2 4,,1 2 6 8 -888,Excercise and carom game playing and fasting,2,1,,,,5,,,4,3 5,,,1-2 years,Decreased,-888,Provision purchased and paid phone bill,-888,Laziness and time save,,,,,,,,,,,,
14201,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,70000,No,Partial payment,No,"No, but not able to pay them",,,Yes,Fully confident,1  6  3,,4-6 months,No,,Others,Plan to apply in future,Female,No,70,2,,1 2 5 7 8 -888,Chat with customers for home service,2,1,,,3,,5,,4,3 5,,,2-3 years,Increased,3 -888,Provisions purchased and cash donation,3 5 -888,Time save and immediately transfer the cash,,,,,,,,,,,,
14204,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,Female,No,20,2,,1 2 6 8,,1,2,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
14205,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Karur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,7,2,9,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,50000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Female,Yes,,1 2,,1 2 8 -888,Stitching work at home,1,2,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,
14206,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,50000,No,Partial payment,No,Yes,0,2,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Female,No,50,2 3 4,,1 2 6 7 8 -888,2 Dogs management and playing,2,1,,,,6,4,,3,4 5,,,1 to 3 months,Increased,3 4 -888,Cash transfer to relatives,-888,Business usage benefit and if emergency immediately transfer the cash,,,,,,,,,,,,
14209,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Fully confident,6,,0-3 months,Do not know any,,,,Female,No,50,2,,1 2 6 8 -888,Dhayam game playing,2,1,,,,4,,,5,7,,,,,,,,,,,,,,,,,,,,
14210,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,25000,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Somewhat confident,6,,4-6 months,Do not know any,,,,Female,No,70,1 2 3 4,,1 2 6 8 -888,Beauty tips given to the customers through phone,2,1,,,,5,,,3,4 5,,,1-2 years,Increased,-888,Provisions and snacks items purchased,-888,Easy to transfer the cash,,,,,,,,,,,,
14211,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Krishnagiri,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,1,3,,Y,,,,,,Same as expected,,,,Enough to survive 3 months or more,,Yes,Yes,1,Yes,60000,No,Partial payment,No,No,,,Yes,Fully confident,3,,> 6 months,Do not know any,,,,Female,No,50,2,,1 2 6 7 8 -888,Chat with customers for home service of beauty parlour work,2,1,,,,6,4,,3,4 5,,,6-12 months,Increased,1 3 4,,5 -888,Transaction visibility and time save,,,,,,,,,,,,
14212,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Coimbatore,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,,No,No,No,"No, but not able to pay them",,,Yes,Somewhat confident,6,,> 6 months,Do not know any,,,,Female,No,50,1 2 3 4,,1 2 5 6 7 8 -888,Garden maintenance,2,1,,,3,7,6,,4,7,,,,,,,,,,,,,,,,,,,,
14213,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,No,,No supplier payments pending,Yes full payment,No customers due to lockdown,No,,,Yes,Fully confident,3 6,,> 6 months,No,,Banks/MFI/NBFC not lending,,Female,No,50,2 4,,1 2 5 6 8,,2,1,,,3,5,,,,3 4 5,,,> 3 years,Increased,5,,5 -888,Cash safety and easy to pay,,,,,,,,,,,,
14214,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,2,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2 3,No,,No supplier payments pending,No supplier payments pending,No,No,,,Yes,Somewhat confident,0,,Uncertain,Do not know any,,,,Female,Yes,,2 4,,1 2 6 7 8,,2,1,,,,5,3,,,7,,,,,,,,,,,,,,,,,,,,
14217,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,50000,No supplier payments pending,No,"Yes, but with delay",No,,,Yes,Somewhat confident,3,,> 6 months,No,,Requirements not fulfilled,,Female,No,50,4,,1 2 5 6 8,,2,1,,,3,5,,,,1 3 4 5,,,1-2 years,Increased,1 3 4,,5 -888,Cash transfer immediately,,,,,,,,,,,,
14218,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,No,,No,No,No,No,,,Yes,Somewhat confident,6,,4-6 months,No,,Requirements not fulfilled,,Female,No,50,2 3,,1 2 6 8 -888,Farming work planned and livestock care,2,1,,,,5,,,3,1 5,,,> 3 years,Increased,-888,Cash got from others through this way,3 5,,,,,,,,,,,,,
14219,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,Yes full payment,No,No,,,Yes,Somewhat confident,1,,> 6 months,No,,Banks/MFI/NBFC not lending,,Female,Yes,,2 3 4,,1 2 6 8,,2,1,,,,4,,,,1 4 5,,,2-3 years,Increased,5,,5,,,,,,,,,,,,,
14220,EDII_Women_Ent,Services,TAILORING (J0B WORK),Tailoring,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,Do Not Know,No,"No, but not able to pay them",,,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Female,No,50,2 3,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
14221,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Chennai,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,50000,Do Not Know,Do Not Know,No,No,,,No Loan,Fully confident,0,,> 6 months,Do not know any,,,,Female,No,50,0,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
14222,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Thiruvallur,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,1,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,200000,Partial payment,Do Not Know,No,No,,,Yes,Fully confident,6,,4-6 months,Do not know any,,,,Female,No,50,3,,1 2 6 7 8,,2,1,,,,5,4,,,1 3,,,> 3 years,Increased,-888,Loan repayment and car Accident repair payment and donation to others,6,,,,,,,,,,,,,
14224,EDII_Women_Ent,Services,BEAUTY PARLOURS,Parlors and Salons,,Kanchipuram,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,2,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,4,Yes,50000,No,Do Not Know,No,"No, but not able to pay them",,,Yes,Somewhat confident,3,,4-6 months,Do not know any,,,,Female,No,50,1 2 3 4,,1 2 5 6 8,,2,1,,,3,5,,,,1 3 4 5,,,> 3 years,Increased,3 -888,Provisions purchased,5 -888,Cash safety,,,,,,,,,,,,
